sa2_name_2011,longitude,latitude,points,focal_longitude,focal_latitude,focal_dist,focal_angle,points1,focal_longitude1,focal_latitude1,focal_distance1,angle1,rownumber,hex_long,hex_lat,hex_id
Windsor,153.03015533830967,-27.434212043140466,Brisbane,153.0350927,-27.45503091,2358.032018089034,-11.88429322150318,Brisbane,153.0350927,-27.45503091,2358.032018089034,-11.88429322150318,36,152.99563915835628,-27.32553847562084,99975
Kangaroo Point,153.03671482003216,-27.4768825496091,Brisbane,153.0350927,-27.45503091,2426.7108344481976,176.23121818724485,Brisbane,153.0350927,-27.45503091,2426.7108344481976,176.23121818724485,37,153.09563915835628,-27.845153717891506,98481
Stuart Park,130.8453231670922,-12.446797474261844,Darwin,130.8500386,-12.42535398,2426.9805555620246,-167.8798050734875,Darwin,130.8500386,-12.42535398,2426.9805555620246,-167.8798050734875,38,130.8956391583563,-12.949516772799157,141198
Bulimba,153.05926660915117,-27.448611287903585,Brisbane,153.0350927,-27.45503091,2493.354775350345,73.33426845196476,Brisbane,153.0350927,-27.45503091,2493.354775350345,73.33426845196476,39,152.8956391583563,-27.498743556377732,99476
Goodwood - Millswood,138.58940875539926,-34.955786416774835,Adelaide,138.6000048,-34.93498777,2502.2003674988523,-157.33144243215565,Adelaide,138.6000048,-34.93498777,2502.2003674988523,-157.33144243215565,40,138.59563915835628,-35.29297219043768,76995
Subiaco - Shenton Park,115.81349204724411,-31.95238049369754,Perth,115.8399987,-31.95501463,2522.928937025926,-83.31274347618583,Perth,115.8399987,-31.95501463,2522.928937025926,-83.31274347618583,41,115.59563915835628,-31.828870575299923,86840
Glenorchy,147.26535506100922,-42.84347437204195,Hobart,147.2950297,-42.85000853,2531.9921394832154,-73.27340777370472,Hobart,147.2950297,-42.85000853,2531.9921394832154,-73.27340777370472,42,146.8956391583563,-42.740790662983855,55622
Richmond (Vic.),145.00395984084247,-37.82290262773425,Melbourne,144.9750162,-37.82003131,2568.2018723335045,97.1492119713234,Melbourne,144.9750162,-37.82003131,2568.2018723335045,97.1492119713234,43,144.7956391583563,-38.06425348254788,69058
Hawthorne,153.0592520525285,-27.46375925826178,Brisbane,153.0350927,-27.45503091,2576.5472765396476,112.14827877192371,Brisbane,153.0350927,-27.45503091,2576.5472765396476,112.14827877192371,44,152.7956391583563,-27.32553847562084,99974
Albion,153.0444853168809,-27.43258779329772,Brisbane,153.0350927,-27.45503091,2654.645466897279,20.373345565639465,Brisbane,153.0350927,-27.45503091,2654.645466897279,20.373345565639465,45,153.09563915835628,-27.152333394863952,100473
East Point,130.82988213590733,-12.411610745013627,Darwin,130.8500386,-12.42535398,2667.367392275303,-55.07652792216441,Darwin,130.8500386,-12.42535398,2667.367392275303,-55.07652792216441,46,130.69563915835627,-12.25669644977161,143189
Unley - Parkside,138.61890810355658,-34.953796481305226,Adelaide,138.6000048,-34.93498777,2708.4988183778332,140.5118380790203,Adelaide,138.6000048,-34.93498777,2708.4988183778332,140.5118380790203,47,138.7956391583563,-35.29297219043768,76996
Campbell,149.15686458991476,-35.292322493666454,Canberra,149.1290262,-35.28302855,2734.276303637814,112.23666376763843,Canberra,149.1290262,-35.28302855,2734.276303637814,112.23666376763843,48,149.49563915835628,-35.119767109680794,77547
Sydney Airport,151.1786040410629,-33.94428831876308,Sydney,151.1851798,-33.92001097,2760.6620723098918,-167.33238661000476,Sydney,151.1851798,-33.92001097,2760.6620723098918,-167.33238661000476,49,151.09563915835628,-34.08053662513946,80543
Abbotsford,144.99975357185113,-37.80463360122361,Melbourne,144.9750162,-37.82003131,2768.7035173618247,51.75837677569938,Melbourne,144.9750162,-37.82003131,2768.7035173618247,51.75837677569938,50,145.1956391583563,-37.71784332103411,70056
Wilston,153.01859869230253,-27.434743887358163,Brisbane,153.0350927,-27.45503091,2777.14798263518,-35.807754388793875,Brisbane,153.0350927,-27.45503091,2777.14798263518,-35.807754388793875,51,152.8956391583563,-27.152333394863952,100472
Lenah Valley - Mount Stuart,147.2778440153861,-42.871617862952576,Hobart,147.2950297,-42.85000853,2781.2686991020937,-149.75393167721828,Hobart,147.2950297,-42.85000853,2781.2686991020937,-149.75393167721828,52,147.1956391583563,-42.91399574374074,55126
Woolner - Bayview - Winnellie,130.87532374769805,-12.431834831809802,Darwin,130.8500386,-12.42535398,2841.15010670223,104.70351377967764,Darwin,130.8500386,-12.42535398,2841.15010670223,104.70351377967764,53,130.99563915835628,-12.77631169204227,141697
South Yarra - East,144.99562575787152,-37.83995222762072,Melbourne,144.9750162,-37.82003131,2860.2212574992604,140.74012879884822,Melbourne,144.9750162,-37.82003131,2860.2212574992604,140.74012879884822,54,145.09563915835628,-37.891048401791,69557
